id,wea_conditions,wea_temp,wea_dptemp,wea_humidity,wea_windspeed,wea_winddir,wea_visibility,wea_pressure,wea_precipitation,wea_fog,wea_rain,wea_snow
8376,Scattered_Clouds,10,5,71,0,0,16.1,29.9,,No,No,No
4026,Partly_Cloudy,27.8,14.4,44,,0,14.5,30,,No,No,No
4816,Clear,8.9,1.1,58,,0,16.1,30,,No,No,No
1600,Clear,7.2,-3.3,48,13,240,16.1,30,,No,No,No
804,Clear,3.9,-13.3,28,,0,16.1,30,,No,No,No
4032,Light_Snow,-1.1,-3.9,82,20.4,50,1.2,30.1,0.3,No,No,Y
4425,Overcast,12.2,6.1,66,16.7,70,16.1,29.7,,No,No,No
4275,Clear,24.4,12.2,46,7.4,0,16.1,29.8,,No,No,No
8170,Clear,21.1,13.3,61,9.3,80,16.1,30.1,,No,No,No
2713,Partly_Cloudy,17.8,10.6,63,0,0,16.1,30,,No,No,No
7907,Overcast,23.9,20.6,82,9.3,270,12.9,29.8,,No,No,No
1081,Clear,1.1,-7.8,52,20.4,310,16.1,29.7,,No,No,No
4278,Overcast,-2.2,-15,38,14.8,30,16.1,30.2,,No,No,No
8424,Clear,26.7,15,48,5.6,0,12.9,29.9,,No,No,No
2759,Partly_Cloudy,16.7,11.7,72,11.1,0,16.1,29.8,,No,No,No
2060,Haze,-1.1,-4.4,79,20.4,50,4,30.1,0,No,No,No
7015,Overcast,25.6,20,71,9.3,300,16.1,29.8,,No,No,No
553,Partly_Cloudy,7.8,-12.8,22,7.4,40,16.1,30.1,,No,No,No
320,Clear,23.3,16.7,66,0,0,12.9,29.9,,No,No,No
4379,Haze,13.3,9.4,77,16.7,60,9.7,29.7,0.3,No,No,No
4399,Clear,12.2,6.7,69,11.1,0,16.1,30.4,,No,No,No
2700,Scattered_Clouds,15.6,3.3,44,7.4,0,16.1,30.1,,No,No,No
2455,Rain,18.3,17.2,93,9.3,0,2.4,29.8,3.6,No,Y,No
4467,Clear,21.7,17.2,75,5.6,70,12.9,30.2,,No,No,No
1700,Clear,22.2,13.3,57,13,150,16.1,30.2,,No,No,No
3202,Snow,-2.8,-4.4,89,29.6,50,0.4,29.7,0.5,Y,No,Y
6874,Mostly_Cloudy,-1.7,-15,36,9.3,0,16.1,30.2,,No,No,No
3662,Overcast,11.7,8.9,83,0,0,11.3,29.9,,No,No,No
6527,Clear,25,11.7,43,11.1,60,16.1,30.2,,No,No,No
7645,Rain,21.1,20,93,7.4,290,4.8,30,2.3,No,Y,No
8015,Clear,28.3,20,60,0,0,14.5,29.8,,No,No,No
2004,Clear,22.8,8.3,39,5.6,0,14.5,30.3,,No,No,No
956,Light_Snow,1.1,-1.7,82,7.4,40,4,30,0.3,No,No,Y
238,Overcast,8.9,3.9,71,16.7,260,16.1,29.6,,No,No,No
2372,Partly_Cloudy,8.3,-1.1,52,22.2,290,16.1,29.6,,No,No,No
3399,Clear,7.2,-4.4,44,11.1,0,16.1,29.9,,No,No,No
89,Unknown,13,2,47,,0,,,,No,No,No
8304,Clear,29.4,7.2,25,5.6,0,12.9,30.1,,No,No,No
7511,Overcast,10,8.3,89,0,0,4,30,,No,No,No
8169,Clear,15.6,-1.1,32,14.8,30,16.1,30.1,,No,No,No
367,Clear,2.8,-5,57,7.4,250,16.1,30,,No,No,No
670,Clear,9.4,-3.3,41,11.1,0,16.1,29.9,,No,No,No
1531,Overcast,18.3,8.9,54,5.6,0,16.1,29.8,,No,No,No
4864,Mostly_Cloudy,24.4,16.1,60,9.3,60,12.9,30,,No,No,No
2869,Overcast,8.3,3.9,74,11.1,0,16.1,29.9,,No,No,No
2678,Clear,-3.3,-16.1,37,18.5,310,16.1,30,,No,No,No
3819,Light_Rain,10,1.1,54,7.4,0,12.9,29.6,0,No,Y,No
8226,Clear,18.3,8.3,52,14.8,170,16.1,29.8,,No,No,No
2040,Overcast,18.9,12.2,65,0,0,14.5,29.7,,No,No,No
1110,Unknown,14.4,9.4,72,,0,,,,No,No,No
6261,Clear,11.7,0.6,47,7.4,0,16.1,29.8,,No,No,No
4567,Haze,24.4,17.2,64,13,160,9.7,29.9,,No,No,No
6174,Mostly_Cloudy,14.4,8.9,70,0,0,14.5,30.1,,No,No,No
3310,Overcast,3.9,-8.3,41,9.3,0,16.1,30,,No,No,No
2474,Overcast,11.7,9.4,86,7.4,60,9.7,29.9,,No,No,No
6148,Overcast,6.7,3.9,82,7.4,310,14.5,29.5,,No,No,No
7547,Clear,3.9,-7.2,45,13,230,16.1,30.3,,No,No,No
1422,Clear,11.7,-1.7,40,13,180,16.1,30.4,,No,No,No
591,Overcast,11.7,6.1,69,14.8,50,16.1,29.7,,No,No,No
7784,Clear,11.7,3.9,59,13,340,16.1,30.1,,No,No,No
1181,Clear,2.2,-13.3,31,9.3,170,16.1,30.5,,No,No,No
508,Partly_Cloudy,-13.9,-26.1,36,14.8,310,16.1,30.3,,No,No,No
4141,Clear,-17.2,-27.8,41,25.9,310,16.1,30.4,,No,No,No
136,Clear,10,-3.9,38,9.3,0,16.1,30.2,,No,No,No
